id,NAME,LMP,RT,Stress,T1,T2,dT,xAL,xB,xC,xCR,xCU,xFE,xMN,xMO,xNB,xNI,xSI,xTI,xV,xW,xY,xZR,Nb_C
122,OC-9,22003.3158,6901,250,1204,650,554,6.06E-02,1.01E-04,5.94E-04,0.20042774,1.21E-03,0.41166486,1.40E-03,8.58E-04,1.85E-02,0.30036957,2.73E-03,5.73E-04,5.38E-04,4.18E-04,2.52E-12,4.85E-12,31.145
123,OC-9,22548.07706,1492,170,1204,700,504,6.06E-02,1.01E-04,5.94E-04,0.20042774,1.21E-03,0.41166486,1.40E-03,8.58E-04,1.85E-02,0.30036957,2.73E-03,5.73E-04,5.38E-04,4.18E-04,2.08E-12,3.94E-12,31.145
124,OC-9,23366.71074,694,100,1204,750,454,6.06E-02,1.01E-04,5.94E-04,0.20042774,1.21E-03,0.41166486,1.40E-03,8.58E-04,1.85E-02,0.30036957,2.73E-03,5.73E-04,5.38E-04,4.18E-04,1.61E-12,2.83E-12,31.145
125,OC-10,20950.3468,499,250,1204,650,554,5.05E-02,4.52E-04,4.88E-03,0.14663342,2.65E-02,0.58090409,6.91E-02,8.48E-04,5.72E-03,0.1102145,2.70E-03,5.67E-04,5.33E-04,4.43E-04,1.46E-12,8.54E-12,1.172
126,OC-10,21816.22062,264,170,1204,700,504,5.05E-02,4.52E-04,4.88E-03,0.14663342,2.65E-02,0.58090409,6.91E-02,8.48E-04,5.72E-03,0.1102145,2.70E-03,5.67E-04,5.33E-04,4.43E-04,1.25E-12,7.93E-12,1.172
127,OC-10,23240.17692,522,100,1204,750,454,5.05E-02,4.52E-04,4.88E-03,0.14663342,2.65E-02,0.58090409,6.91E-02,8.48E-04,5.72E-03,0.1102145,2.70E-03,5.67E-04,5.33E-04,4.43E-04,1.12E-12,5.24E-12,1.172
128,OC-A,21365.59045,1406,250,1204,650,554,6.24E-02,5.09E-04,2.15E-03,0.14874255,4.50E-03,0.50295174,2.00E-02,1.15E-02,6.04E-03,0.2345001,2.74E-03,5.74E-04,5.40E-04,2.87E-03,1.15E-11,6.24E-12,2.809
129,OC-A,23245.2545,528,100,1204,750,454,6.24E-02,5.09E-04,2.15E-03,0.14874255,4.50E-03,0.50295174,2.00E-02,1.15E-02,6.04E-03,0.2345001,2.74E-03,5.74E-04,5.40E-04,2.87E-03,2.51E-12,1.97E-12,2.809
130,OC-B,21188.98664,905,250,1204,650,554,6.14E-02,5.06E-04,9.29E-03,0.14719975,4.39E-03,0.49956907,1.99E-02,1.14E-02,5.89E-03,0.23350861,2.92E-03,5.71E-04,5.37E-04,2.86E-03,7.40E-12,1.44E-11,0.634
131,OC-B,23696.21912,1457,100,1204,750,454,6.14E-02,5.06E-04,9.29E-03,0.14719975,4.39E-03,0.49956907,1.99E-02,1.14E-02,5.89E-03,0.23350861,2.92E-03,5.71E-04,5.37E-04,2.86E-03,3.22E-12,9.28E-12,0.634
132,OC-C,21165.73561,854,250,1204,650,554,8.32E-02,5.03E-04,2.22E-03,0.14674811,4.45E-03,0.48712152,1.98E-02,1.13E-02,5.80E-03,0.23212847,2.71E-03,5.68E-04,5.34E-04,2.84E-03,1.34E-11,6.79E-12,2.613
133,OC-C,23369.2641,698,100,1204,750,454,8.32E-02,5.03E-04,2.22E-03,0.14674811,4.45E-03,0.48712152,1.98E-02,1.13E-02,5.80E-03,0.23212847,2.71E-03,5.68E-04,5.34E-04,2.84E-03,2.78E-12,2.46E-12,2.613
134,OC-D,21285.72064,1152,250,1204,650,554,8.24E-02,5.00E-04,9.41E-03,0.14533465,4.43E-03,0.48382358,1.97E-02,1.12E-02,5.88E-03,0.23069566,2.70E-03,5.65E-04,5.31E-04,2.82E-03,8.70E-12,1.51E-11,0.625
135,OC-D,23755.50677,1665,100,1204,750,454,8.24E-02,5.00E-04,9.41E-03,0.14533465,4.43E-03,0.48382358,1.97E-02,1.12E-02,5.88E-03,0.23069566,2.70E-03,5.65E-04,5.31E-04,2.82E-03,2.78E-12,7.38E-12,0.625
136,OC-E,20988.62527,549,250,1204,650,554,8.20E-02,4.97E-04,9.34E-03,0.14469729,4.39E-03,0.4910002,1.96E-02,8.40E-04,1.46E-02,0.22893669,2.68E-03,5.61E-04,5.27E-04,4.09E-04,3.59E-12,1.34E-11,1.563
137,OC-E,23276.91547,567,100,1204,750,454,8.20E-02,4.97E-04,9.34E-03,0.14469729,4.39E-03,0.4910002,1.96E-02,8.40E-04,1.46E-02,0.22893669,2.68E-03,5.61E-04,5.27E-04,4.09E-04,2.14E-12,6.66E-12,1.563
138,OC-F,21028.22223,606,250,1204,650,554,8.41E-02,4.53E-04,9.10E-03,0.14625844,4.45E-03,0.47105341,1.97E-02,1.12E-02,1.48E-02,0.23218135,2.71E-03,5.68E-04,5.34E-04,2.87E-03,1.28E-11,1.72E-11,1.626
139,OC-F,23277.69835,568,100,1204,750,454,8.41E-02,4.53E-04,9.10E-03,0.14625844,4.45E-03,0.47105341,1.97E-02,1.12E-02,1.48E-02,0.23218135,2.71E-03,5.68E-04,5.34E-04,2.87E-03,2.76E-12,4.44E-12,1.626
140,OC-G,21253.4902,1063,250,1204,650,554,6.21E-02,4.04E-04,9.09E-03,0.14530376,4.47E-03,0.54848734,1.99E-02,1.13E-02,5.93E-03,0.18649233,2.53E-03,5.70E-04,5.36E-04,2.88E-03,7.27E-12,1.45E-11,0.652
141,OC-G,23706.16955,1490,100,1204,750,454,6.21E-02,4.04E-04,9.09E-03,0.14530376,4.47E-03,0.54848734,1.99E-02,1.13E-02,5.93E-03,0.18649233,2.53E-03,5.70E-04,5.36E-04,2.88E-03,2.82E-12,8.53E-12,0.652
142,OC-H,21073.8158,679,250,1204,650,554,6.18E-02,4.06E-04,9.03E-03,0.14422929,4.43E-03,0.55564952,1.97E-02,8.51E-04,1.48E-02,0.1847284,2.90E-03,5.66E-04,5.30E-04,4.17E-04,1.83E-12,7.51E-12,1.639
143,OC-H,23114.06358,393,100,1204,750,454,6.18E-02,4.01E-04,9.02E-03,0.14421422,4.43E-03,0.55562841,1.97E-02,8.47E-04,1.48E-02,0.18472468,2.89E-03,5.66E-04,5.32E-04,4.13E-04,1.39E-12,4.87E-12,1.641
144,OC-I,21087.16915,702,250,1204,650,554,5.06E-02,5.51E-04,7.71E-03,0.14420377,2.59E-02,0.59939726,4.92E-02,8.47E-04,6.01E-03,0.11150986,2.51E-03,5.66E-04,5.32E-04,4.42E-04,1.38E-12,2.11E-11,0.78
145,OC-I,23439.20316,817,100,1204,750,454,5.06E-02,5.51E-04,7.71E-03,0.14420377,2.59E-02,0.59939726,4.92E-02,8.47E-04,6.01E-03,0.11150986,2.51E-03,5.66E-04,5.32E-04,4.42E-04,1.12E-12,1.47E-11,0.78
146,OC-J,21050.10412,640,250,1204,650,554,5.13E-02,4.50E-04,9.01E-03,0.14395646,2.60E-02,0.58057937,6.68E-02,8.46E-04,5.88E-03,0.11104217,2.50E-03,5.65E-04,5.31E-04,4.41E-04,1.17E-12,1.34E-11,0.653
147,OC-J,23355.69221,677,100,1204,750,454,5.13E-02,4.50E-04,9.01E-03,0.14395646,2.60E-02,0.58057937,6.68E-02,8.46E-04,5.88E-03,0.11104217,2.50E-03,5.65E-04,5.31E-04,4.41E-04,1.11E-12,1.23E-11,0.653
148,OC-K,20732.79335,290,250,1204,650,554,5.07E-02,4.52E-04,4.52E-03,0.14525295,2.60E-02,0.55280979,9.81E-02,8.48E-04,5.90E-03,0.11130587,2.70E-03,5.67E-04,5.33E-04,4.13E-04,1.60E-12,1.01E-11,1.305
149,OC-K,22862.31587,223,100,1204,750,454,5.07E-02,4.52E-04,4.52E-03,0.14525295,2.60E-02,0.55280979,9.81E-02,8.48E-04,5.90E-03,0.11130587,2.70E-03,5.67E-04,5.33E-04,4.13E-04,1.21E-12,5.97E-12,1.305
150,OC-L,20840.08399,379,250,1204,650,554,5.09E-02,4.50E-04,9.00E-03,0.14441681,2.60E-02,0.54887862,9.80E-02,8.45E-04,5.88E-03,0.11136472,2.69E-03,5.65E-04,5.31E-04,4.41E-04,1.16E-12,1.37E-11,0.653
151,OC-L,23001.43874,305,100,1204,750,454,5.09E-02,4.50E-04,9.00E-03,0.14441681,2.60E-02,0.54887862,9.80E-02,8.45E-04,5.88E-03,0.11136472,2.69E-03,5.65E-04,5.31E-04,4.41E-04,1.14E-12,1.26E-11,0.653
152,OC-N,21358.68892,1382,250,1204,650,554,6.12E-02,3.54E-04,6.74E-03,0.14586375,4.48E-03,0.55150177,1.99E-02,1.14E-02,5.95E-03,0.18628825,2.34E-03,5.71E-04,5.37E-04,2.86E-03,1.12E-11,1.94E-11,0.883
153,OC-N,22519.6707,1395,170,1204,700,504,6.12E-02,3.54E-04,6.74E-03,0.14586375,4.48E-03,0.55150177,1.99E-02,1.14E-02,5.95E-03,0.18628825,2.34E-03,5.71E-04,5.37E-04,2.86E-03,3.41E-12,8.63E-12,0.883
154,OC-N,23757.90183,1674,100,1204,750,454,6.12E-02,3.54E-04,6.74E-03,0.14586375,4.48E-03,0.55150177,1.99E-02,1.14E-02,5.95E-03,0.18628825,2.34E-03,5.71E-04,5.37E-04,2.86E-03,2.97E-12,1.02E-11,0.883
155,OC-O,21177.30173,879,250,1204,650,554,5.99E-02,4.02E-04,6.66E-03,0.14539398,4.45E-03,0.55778497,1.96E-02,1.12E-02,5.85E-03,0.18533927,2.32E-03,5.68E-04,5.34E-04,4.26E-12,6.20E-12,1.39E-11,0.878
